,Category,name,destinations,age_group,tour_type_des,Vendors,Duration,price,Destination_link
0,In-depth Cultural,Highlights of Egypt," Cairo, Alexandria, Luxor, Valley of the Kings, Edfu, Kom Ombo, Aswan, Kitchener Island, Philae, Abu Simbel+3 more", 18 to 95 ,"Active Adventure, Private, Group, Fully Guided, Sailing, Christmas & New Year+3 more",Ciconia Exclusive Journeys,11 days,2.182,188285
1,Explorer,Nile Adventure - Felucca cruise," Cairo, Giza, Aswan, Kom Ombo, Luxor, Hurghada ", 18 to 44 ,"Private, Group, Fully Guided, Historical, Christmas & New Year+3 more",Timeless Tours ,9 days,575,45555
2,Explorer,Egypt Explorer - Felucca cruise & Red Sea," Cairo, Giza, Aswan, Kom Ombo, Luxor, Hurghada ", 18 to 46 ,"Private, Group, Fully Guided, Historical, Christmas & New Year+3 more",Timeless Tours ,10 days,627,45554
3,In-depth Cultural,Felucca Odyssey," Cairo, Luxor, Valley of the Kings, Aswan, Edfu, Kom Ombo ", 18 to 50 ,"Group, Fully Guided, Explorer, Coach / Bus, Christmas & New Year+3 more",Travel Talk,9 days,969,2349
4,Explorer,"9 Days Nile Jewel  (Cairo, Nile Cruise, Hurghada)"," Cairo, Aswan, Kom Ombo, Edfu, Luxor, Hurghada ", 10 to 68 ,"Family, River Cruise, Private, Group, Fully Guided, Historical, Christmas & New Year+5 more",Vacations to go travel,9 days,904,128439
5,Explorer,Pharaohs Nile Cruise Adventure - 5 Star," Cairo, Giza, Luxor, Valley of the Kings, Esna, Edfu, Kom Ombo, Aswan, Philae ", 1 to 90 ,"Family, River Cruise, Private, Group, Fully Guided, Historical, Christmas & New Year+5 more",Beyond The Nile Tours,8 days,766,111022
6,Active Adventure,Cairo-Luxor-Aswan-Abu Simbel 9 Days with tour guided - domestic Flight," Cairo, Giza, Luxor, Edfu, Kom Ombo, Abu Simbel, Aswan ", 18 to 85 ,"Private, Fully Guided, Christmas & New Year+1 more",Egypt Direct Tours,9 days,1.363,132323
7,In-depth Cultural,10-Day Ancient Egypt Tour with Nile Cruise," Cairo, Saqqarah, Aswan, Abu Simbel, Kom Ombo, Edfu, Luxor ", 6 to 78 ,"Family, River Cruise, Private, Group, Fully Guided, Historical, Christmas & New Year+5 more",Vacations to go travel,10 days,1.295,129495
8,In-depth Cultural,"Cheap Egypt holiday  to  Cairo-Luxor-Aswan-Abu Simbel  11 Days with sleeping train,sightseeing & tour guided"," Cairo, Giza, Luxor, Edfu, Kom Ombo, Abu Simbel, Aswan ", 16 to 85 ,"Family, Private, Fully Guided, Historical, Christmas & New Year+3 more",Egypt Direct Tours,11 days,863,144076
9,In-depth Cultural,Essential Egypt," Cairo, Giza, Saqqarah, Valley of the Kings, Luxor, Aswan, Philae, Edfu, Kom Ombo ", 18 to 59 ,"Group, Fully Guided, Coach / Bus, Christmas & New Year+2 more",Travel Talk,9 days,1.011,2263
10,Explorer,Egypt Nile Jewel - 9 Days," Cairo, Giza, Saqqarah, Aswan, Kom Ombo, Edfu, Luxor, Valley of the Kings, Hurghada ", 10 to 90 ,"Family, River Cruise, Private, Group, Fully Guided, Historical, Christmas & New Year+5 more",Expat Explore Travel,9 days,830,14262
11,Explorer,Footsteps Of The Pharaohs - Included Internal Flights," Cairo, Saqqarah, Giza, Luxor, Esna, Edfu, Kom Ombo, Aswan, Abu Simbel, Alexandria ", 3 to 99 ,"Family, River Cruise, Private, Group, Fully Guided, Historical, Christmas & New Year+5 more",Getaways Egypt ,10 days,1.222,228650
